variant,theta_label,log_sigma_v2,log_sigma_w2,sigma_v2,sigma_w2,seed,loglik,grad_log_sigma_v2,grad_log_sigma_w2,grad_norm,finite_loglik,finite_grad,elapsed_s,error
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,317060,-80.82808685302734,62906217529344.0,9462537519104.0,63613927878646.18,1,1,1.6409096717834473,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,324979,-145.56741333007812,2317.185546875,-92.4914779663086,2319.0307311768825,1,1,1.5659799575805664,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,332898,-79.81666564941406,46545206509568.0,-12213998845952.0,48121076638280.32,1,1,1.6323912143707275,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,340817,-81.06749725341797,-2.82614492969497e+20,2.9914041221971444e+19,2.8419324675057933e+20,1,1,1.6200897693634033,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,348736,-81.51329803466797,-6813408343097344.0,3189367552081920.0,7522938164843675.0,1,1,1.5508270263671875,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,356655,-84.55443572998047,-146282744119296.0,-27660449218560.0,148874919573593.6,1,1,1.6688520908355713,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,364574,-80.34126281738281,-3626831708160.0,-869410013184.0,3729582015499.778,1,1,1.5577480792999268,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,372493,-10000048.0,nan,nan,nan,1,0,1.5864996910095215,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,380412,-82.10958862304688,57484386304.0,24210040832.0,62374520004.84341,1,1,1.6161348819732666,
full,"sv2=12,sw2=0.8",2.4849066734313965,-0.2231435328722,12.0,0.800000011920929,388331,-87.35369110107422,1.0336851860350042e+20,-9.336449111190143e+18,1.0378930542347828e+20,1,1,1.562880039215088,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,300,-73.96964263916016,669563.5,-1665347.5,1794908.793306362,1,1,1.5815072059631348,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,8219,-82.4964370727539,-263770.28125,-7769820.0,7774295.954854735,1,1,1.5794811248779297,
stop_ot_grad,"sv2=10,sw2=1",2.3025851249694824,0.0,10.0,1.0,16138,-78.08453369140625,99609.2265625,-62672.07421875,117685.11759462181,1,1,1.509343147277832,
