t,x_true,vx_true,y_true,vy_true,x_filt_r,vx_filt_r,y_filt_r,vy_filt_r,x_filt_j,vx_filt_j,y_filt_j,vy_filt_j
104,64.51358032226562,-0.6695846319198608,21.728361129760742,4.85191535949707,66.74124908447266,0.3305090665817261,17.57502555847168,3.889902114868164,66.74124145507812,0.3305090665817261,17.57502555847168,3.889901638031006
105,63.895267486572266,-0.5670381784439087,26.861604690551758,5.4145708084106445,64.97945404052734,-0.13444635272026062,21.068159103393555,3.801731586456299,64.97944641113281,-0.13444575667381287,21.068159103393555,3.8017311096191406
106,63.236270904541016,-0.7509537935256958,32.26636505126953,5.394946575164795,65.98771667480469,0.11948797106742859,27.961959838867188,4.488858222961426,65.98770904541016,0.1194891631603241,27.961959838867188,4.488857746124268
107,62.82942199707031,-0.06274771690368652,37.672237396240234,5.4168009757995605,63.057376861572266,-0.558252215385437,34.981414794921875,5.051213264465332,63.057373046875,-0.5582504272460938,34.981414794921875,5.051212787628174
108,62.88243865966797,0.1687777191400528,42.80616760253906,4.85105562210083,60.55366516113281,-0.9905767440795898,41.51185989379883,5.379931926727295,60.55366516113281,-0.9905745983123779,41.51185989379883,5.379931449890137
109,62.71939468383789,-0.49486297369003296,47.740596771240234,5.017803192138672,60.0482063293457,-0.8827728033065796,45.63196563720703,5.09997034072876,60.0482063293457,-0.8827709555625916,45.63196563720703,5.099969863891602
110,62.054019927978516,-0.8358898162841797,52.20375442504883,3.908510208129883,59.92423629760742,-0.7141497731208801,54.17707824707031,5.865557670593262,59.92424011230469,-0.714148223400116,54.17707824707031,5.8655571937561035
111,61.44923400878906,-0.37368324398994446,56.12141418457031,3.926801919937134,60.61827087402344,-0.40122008323669434,59.17949676513672,5.673748970031738,60.6182746887207,-0.40121886134147644,59.17949676513672,5.67374849319458
112,60.52748107910156,-1.4698190689086914,60.22893142700195,4.28823184967041,58.501102447509766,-0.7825427055358887,62.241004943847656,5.093250274658203,58.501102447509766,-0.7825417518615723,62.241004943847656,5.093249797821045
113,59.283817291259766,-1.0175076723098755,64.69454193115234,4.642989158630371,59.251556396484375,-0.4418768286705017,67.70706939697266,5.1760969161987305,59.251556396484375,-0.4418758749961853,67.70706176757812,5.1760969161987305
